mondo_id,disease_name,has_onset,has_clinical_course,has_gene,has_inheritance,needs_manual_review,notes
MONDO:0975839,pancreatic agenesis 3,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975840,retinitis pigmentosa 98,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975841,"fibromatosis, gingival, 6",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975842,spermatogenic failure 96,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975843,premature ovarian failure 25,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975846,"congenital disorder of glycosylation, type 1DD",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975847,autoimmune disease with susceptibility to mycobacterium tuberculosis,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975848,Morimoto-Ryu-Malicdan neuromuscular syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975874,"neurodevelopmental disorder with dysmorphic facies, absent speech and ambulation, and brain abnormalities",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975875,"basal ganglia calcification, idiopathic, 10, autosomal recessive",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0015780,dyskeratosis congenita,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0975877,neurodevelopmental disorder with variable familial hypercholanemia,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975951,"spastic paraplegia, mitochondrial",True,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975952,cerebral cavernous malformations 5,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975953,Pan-Chung-Bellen syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975957,"telangiectasia, impaired intellectual development, microcephaly, metaphyseal dysplasia, eye abnormalities, and short stature",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975958,spermatogenic failure 97,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0976123,"spermatogenic failure, X-linked, 9",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0976124,intellectual developmental disorder with polymicrogyria and seizures,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0976125,neurodevelopmental disorder with speech or visual impairment and brain hypomyelination,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
